name,ion,wl,flux,rms,I
PN41m   ,      [OI], 6300  ,  0.  , 0.  ,   0. 
PN41m   ,    [SIII], 6312  ,  0.  , 0.  ,   0. 
PN41m   ,      [OI], 6363  ,  0.  , 0.  ,   0. 
PN41m   ,     [NII], 6548  , 83.  ,19.8 ,  34.3
PN41m   ,        HI, 6563  ,717.7 ,30.4 , 294.6
PN41m   ,     [NII], 6584  ,302.5 ,18.5 , 123.1
PN41m   ,       HeI, 6678  ,  0.  , 0.  ,   0. 
PN41m   ,     [SII], 6717  ,153.6 ,23.8 ,  59.2
PN41m   ,     [SII], 6731  ,138.5 ,21.2 ,  53.1
PN41m   ,       HeI, 6891  ,  0.  , 0.  ,   0. 
PN41m   ,     [ArV], 7005  ,  0.  , 0.  ,   0. 
PN41m   ,       HeI, 7065  ,  0.  , 0.  ,   0. 
PN41m   ,   [ArIII], 7135  ,  0.  , 0.  ,   0. 
PN41m   ,     [OII], 7320  ,  0.  , 0.  ,   0. 
PN41m   ,     [OII], 7330  ,  0.  , 0.  ,   0. 
PN41m   ,   [ArIII], 7751  ,  0.  , 0.  ,   0. 
PN41m   ,    [SIII], 9069  ,  0.  , 0.  ,   0. 
PN45m   ,     [OII], 3727  ,166.8 , 0.5 , 276.2
PN45m   ,       HeI, 3805  ,  0.  , 0.  ,   0. 
PN45m   ,        HI, 3835  ,  0.  , 0.  ,   0. 
PN45m   ,   [NeIII], 3869  ,  0.  , 0.  ,   0. 
PN45m   ,       HeI, 3889  , 11.7 , 0.3 ,  17.9
PN45m   ,[NeIII]/HI, 3968  ,  9.1 , 0.4 ,  13.6
PN45m   ,     [SII], 4070  ,  0.  , 0.  ,   0. 
PN45m   ,        HI, 4100  , 20.  , 0.4 ,  27.9
PN45m   ,        HI, 4340  , 39.2 , 0.4 ,  49.3
PN45m   ,    [OIII], 4363  ,  0.  , 0.  ,   0. 
PN45m   ,       HeI, 4471  ,  0.  , 0.  ,   0. 
PN45m   ,      HeII, 4540  ,  0.  , 0.  ,   0. 
PN45m   ,      HeII, 4686  ,  0.  , 0.  ,   0. 
PN45m   ,HeI/[ArIV], 4712  ,  0.  , 0.  ,   0. 
PN45m   ,    [ArIV], 4740  ,  0.  , 0.  ,   0. 
PN45m   ,        HI, 4861  ,100.  , 0.6 ,  99.9
PN45m   ,    [OIII], 4959  , 16.3 , 0.2 ,  15.6
PN45m   ,    [OIII], 5007  , 49.7 , 0.3 ,  46.5
PN45m   ,      HeII, 5411  ,  0.  , 0.  ,   0. 
PN45m   ,     [NII], 5755  ,  0.6 , 0.1 ,   0.4
PN45m   ,       HeI, 5876  , 15.5 , 0.3 ,  10.7
PN45m   ,      [OI], 6300  ,  0.  , 0.  ,   0. 
PN45m   ,    [SIII], 6312  ,  0.  , 0.  ,   0. 
PN45m   ,      [OI], 6363  ,  0.  , 0.  ,   0. 
PN45m   ,     [NII], 6548  , 58.6 , 0.4 ,  34.1
PN45m   ,        HI, 6563  ,503.3 , 0.8 , 291.6
PN45m   ,     [NII], 6584  ,176.3 , 0.7 , 101.6
PN45m   ,       HeI, 6678  ,  7.  , 0.3 ,   3.9
PN45m   ,     [SII], 6717  , 50.  , 0.3 ,  27.9
PN45m   ,     [SII], 6731  , 35.1 , 0.3 ,  19.5
PN45m   ,       HeI, 6891  ,  0.  , 0.  ,   0. 
PN45m   ,     [ArV], 7005  ,  0.  , 0.  ,   0. 
PN45m   ,       HeI, 7065  ,  3.8 , 0.3 ,   1.9
PN45m   ,   [ArIII], 7135  , 14.1 , 0.3 ,   7.1
PN45m   ,     [OII], 7320  ,  0.  , 0.  ,   0. 
PN45m   ,     [OII], 7330  ,  0.  , 0.  ,   0. 
PN45m   ,   [ArIII], 7751  ,  0.  , 0.  ,   0. 
PN45m   ,    [SIII], 9069  ,  0.  , 0.  ,   0. 
PN63m   ,     [OII], 3727  ,147.6 , 0.6 , 309.9
PN63m   ,       HeI, 3805  ,  0.  , 0.  ,   0. 
PN63m   ,        HI, 3835  ,  0.  , 0.  ,   0. 
PN63m   ,   [NeIII], 3869  ,  0.  , 0.  ,   0. 
PN63m   ,       HeI, 3889  ,  0.  , 0.  ,   0. 
PN63m   ,[NeIII]/HI, 3968  ,  0.  , 0.  ,   0. 
PN63m   ,     [SII], 4070  ,  0.  , 0.  ,   0. 
PN63m   ,        HI, 4100  , 15.5 , 0.3 ,  25.6
PN63m   ,        HI, 4340  , 36.3 , 0.4 ,  51.1
PN63m   ,    [OIII], 4363  ,  0.  , 0.  ,   0. 
PN63m   ,       HeI, 4471  ,  0.  , 0.  ,   0. 
PN63m   ,      HeII, 4540  ,  0.  , 0.  ,   0. 
PN63m   ,      HeII, 4686  ,  0.  , 0.  ,   0. 
PN63m   ,HeI/[ArIV], 4712  ,  0.  , 0.  ,   0. 
PN63m   ,    [ArIV], 4740  ,  0.  , 0.  ,   0. 
PN63m   ,        HI, 4861  ,100.  , 0.7 , 100.2
PN63m   ,    [OIII], 4959  , 35.3 , 0.5 ,  33.2
PN63m   ,    [OIII], 5007  ,108.3 , 0.5 ,  98.7
PN63m   ,      HeII, 5411  ,  0.  , 0.  ,   0. 
PN63m   ,     [NII], 5755  ,  1.4 , 0.4 ,   0.9
PN63m   ,       HeI, 5876  , 21.9 , 0.4 ,  12.7
PN63m   ,      [OI], 6300  ,  0.  , 0.  ,   0. 
